Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.46944695195361E-17,0.0600600740935481,2.22044604925031E-16,0,0,0,20.4614601836601,0.249216414234592,-1.60131885338263E-17,2.12952553269204E-17,0.6175648877969,-4.26598358468633E-17,0.435038252585552,0,0,0,0,0,0,package://TOE_balence/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/base_link.STL,,body-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LB_1,-0.0912954643793855,-4.30211422042248E-16,0.0113056803430923,0,0,0,0.324823001646924,0.000107013716905788,1.28950027117944E-19,-3.87197766270466E-05,0.00180263223873226,4.37275444553061E-20,0.00187778887256759,0,0,0,0,0,0,package://TOE_balence/meshes/LB_1.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/LB_1.STL,,leg_1-2,LB_1,AXIS_LB_1,LB_1,revolute,-0.05,0.08,-0.185,0,0,0,base_link,0,0,-1,0,0,0,1.0466,,,,,,,,
LB_2,0.15,-1.38777878078145E-17,0.01,0,0,0,0.444823001646924,0.000145446900494077,-5.73338937578026E-20,5.30143760293281E-05,0.00486196443754987,-7.73733477640343E-20,0.00497068788779691,0,0,0,0,0,0,package://TOE_balence/meshes/LB_2.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/LB_2.STL,,leg_3-3,LB_2,AXIS_LB_2,LB_2,revolute,-0.200000000000001,0,-0.0250000000000002,0,0,-0.585685543457151,LB_1,0,0,-1,0,0,0,0,,,,,,,,
LF_1,0.0749790246153097,5.96744875736022E-16,0.0168807682307895,0,0,0,0.395508836352695,0.000183089900579248,1.22584331602294E-19,0.000204048265203773,0.0023625702698755,-1.52298451305155E-20,0.00239345934565496,0,0,0,0,0,0,package://TOE_balence/meshes/LF_1.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/LF_1.STL,,leg_2-2,LF_1,AXIS_LF_1,LF_1,revolute,0.05,0.08,-0.21,0,0,0,base_link,0,0,-1,0,0,0,-1.0466,,,,,,,,
LF_2,-0.15,-1.38777878078145E-17,0.00999999999999995,0,0,0,0.444823001646924,0.000145446900494078,-1.41843389906989E-19,-5.30143760293279E-05,0.00486196443754988,-9.51376352720901E-20,0.00497068788779692,0,0,0,0,0,0,package://TOE_balence/meshes/LF_2.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/LF_2.STL,,leg_3-4,LF_2,AXIS_LF_2,LF_2,revolute,0.199999999999999,0,-0.0250000000000001,0,0,0.58568554345715,LF_1,0,0,-1,0,0,0,0,,,,,,,,
L,0,0,0.015,0,0,0,0.763407014822321,0.00160315473112687,-1.43995601033231E-20,-7.10198537447759E-25,0.00160315473112687,2.95431016670969E-24,0.0030917984100304,0,0,0,0,0,0,package://TOE_balence/meshes/L.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/L.STL,,wheel-1,L,AXIS_L,L,revolute,-0.3,0,-0.0350000000000001,0,0,-0.58568554345715,LF_2,0,0,1,0,0,0,0,,,,,,,,
RF_1,0.0749790246153108,-5.55111512312578E-17,-0.0168807682307895,0,0,0,0.395508836352695,0.000183089900579248,1.76472263066726E-19,-0.000204048265203774,0.0023625702698755,9.34217943423371E-21,0.00239345934565496,0,0,0,0,0,0,package://TOE_balence/meshes/RF_1.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/RF_1.STL,,leg_2-1,RF_1,AXIS_RF_1,RF_1,revolute,0.05,0.08,0.21,0,0,0,base_link,0,0,1,0,0,0,-1.0466,,,,,,,,
RF_2,-0.15,2.08166817117217E-17,-0.01,0,0,0,0.444823001646925,0.000145446900494078,3.59141969635823E-19,5.30143760293279E-05,0.00486196443754988,-1.6940658945086E-20,0.00497068788779692,0,0,0,0,0,0,package://TOE_balence/meshes/RF_2.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/RF_2.STL,,leg_3-2,RF_2,AXIS_RF_2,RF_2,revolute,0.2,0,0.025,0,0,0.58568554345715,RF_1,0,0,-1,0,0,0,0,,,,,,,,
R,0,-1.38777878078145E-17,-0.0149999999999999,0,0,0,0.763407014822321,0.00160315473112687,-1.86347248395946E-19,-1.93699604447497E-24,0.00160315473112687,2.42191734012313E-24,0.0030917984100304,0,0,0,0,0,0,package://TOE_balence/meshes/R.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/R.STL,,wheel-2,R,AXIS_R,R,revolute,-0.3,0,0.035,0,0,-0.58568554345715,RF_2,0,0,1,0,0,0,0,,,,,,,,
RB_1,-0.0912954643793854,-3.88578058618805E-16,-0.0113056803430923,0,0,0,0.324823001646925,0.000107013716905788,1.14549074300871E-20,3.87197766270465E-05,0.00180263223873226,5.60254202873649E-22,0.00187778887256759,0,0,0,0,0,0,package://TOE_balence/meshes/RB_1.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/RB_1.STL,,leg_1-1,RB_1,AXIS_RB_1,RB_1,revolute,-0.05,0.08,0.185,0,0,0,base_link,0,0,1,0,0,0,1.0466,,,,,,,,
RB_2,0.15,0,-0.01,0,0,0,0.444823001646925,0.000145446900494078,3.32036915323686E-19,-5.30143760293279E-05,0.00486196443754988,1.6940658945086E-20,0.00497068788779692,0,0,0,0,0,0,package://TOE_balence/meshes/RB_2.STL,1,1,1,1,0,0,0,0,0,0,package://TOE_balence/meshes/RB_2.STL,,leg_3-1,RB_2,AXIS_RB_2,RB_2,revolute,-0.2,0,0.025,0,0,-0.585685543457153,RB_1,0,0,-1,0,0,0,0,,,,,,,,
